iter	Passed	Remaining
0	0	39
1	0	36
2	1	34
3	1	30
4	1	30
5	1	30
6	2	30
7	2	29
8	2	29
9	3	29
10	3	28
11	4	29
12	4	31
13	4	30
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	6	27
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	24
29	10	23
30	10	23
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	16	18
46	16	18
47	17	18
48	17	18
49	18	18
50	18	17
51	19	17
52	19	17
53	20	17
54	20	16
55	20	16
56	21	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	31	6
83	31	6
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	3
92	34	2
93	35	2
94	35	1
95	36	1
96	36	1
97	36	0
98	37	0
99	37	0
