iter	Passed	Remaining
0	56	56144
1	56	28303
2	57	19087
3	57	14439
4	58	11632
5	58	9773
6	59	8440
7	59	7438
8	60	6671
9	61	6047
10	61	5539
11	61	5102
12	62	4734
13	62	4428
14	63	4162
15	63	3925
16	64	3718
17	64	3533
18	65	3365
19	65	3219
20	66	3082
21	66	2955
22	66	2843
23	67	2748
24	68	2654
25	68	2566
26	68	2484
27	69	2404
28	69	2330
29	69	2261
30	70	2202
31	71	2148
32	71	2097
33	71	2043
34	72	1991
35	72	1943
36	72	1899
37	73	1856
38	73	1816
39	74	1779
40	74	1743
41	74	1708
42	75	1674
43	75	1642
44	75	1611
45	76	1581
46	76	1552
47	76	1526
48	77	1501
49	77	1477
50	78	1454
51	78	1434
52	79	1413
53	79	1391
54	79	1371
55	80	1351
56	80	1332
57	80	1314
58	81	1295
59	81	1277
60	81	1260
61	82	1245
62	82	1229
63	82	1213
64	83	1198
65	83	1184
66	84	1170
67	84	1156
68	84	1144
69	85	1132
70	85	1120
71	86	1109
72	86	1097
73	86	1086
74	87	1076
75	87	1066
76	88	1055
77	88	1045
78	88	1036
79	89	1027
80	89	1017
81	90	1009
82	90	999
83	90	991
84	91	982
85	91	974
86	92	965
87	92	958
88	92	951
89	93	944
90	93	937
91	94	929
92	94	922
93	94	915
94	95	908
95	95	901
96	96	894
97	96	887
98	96	880
99	97	873
100	97	867
101	97	862
102	98	857
103	98	850
104	99	845
105	99	840
106	99	834
107	100	828
108	100	822
109	101	817
110	101	812
111	101	806
112	102	801
113	102	797
114	102	792
115	103	787
116	103	781
117	103	777
118	104	772
119	104	768
120	105	765
121	105	760
122	106	756
123	106	752
124	106	747
125	107	743
126	107	739
127	107	735
128	108	731
129	108	727
130	109	723
131	109	719
132	109	716
133	110	712
134	110	708
135	111	705
136	111	703
137	112	700
138	112	697
139	112	693
140	113	690
141	113	686
142	114	683
143	114	681
144	114	678
145	115	675
146	115	672
147	116	669
148	116	666
149	117	663
150	117	660
151	117	657
152	118	654
153	118	652
154	119	649
155	119	646
156	120	644
157	120	642
158	120	639
159	121	636
160	121	633
161	121	630
162	122	627
163	122	625
164	123	622
165	123	620
166	123	617
167	124	615
168	124	612
169	124	610
170	125	607
171	125	605
172	126	603
173	126	601
174	126	598
175	127	595
176	127	593
177	128	591
178	128	588
179	128	586
180	129	584
181	129	583
182	130	581
183	130	579
184	131	577
185	131	575
186	131	573
187	132	570
188	132	568
189	132	566
190	133	564
191	133	562
192	134	561
193	134	559
194	135	557
195	135	555
196	135	553
197	136	552
198	136	550
199	137	548
200	137	546
201	137	544
202	138	543
203	138	541
204	139	540
205	139	537
206	139	536
207	140	534
208	140	532
209	141	531
210	141	530
211	142	528
212	142	526
213	143	525
214	143	524
215	143	522
216	144	521
217	144	519
218	145	517
219	145	516
220	145	514
221	146	513
222	146	511
223	147	510
224	147	508
225	148	507
226	148	506
227	148	504
228	149	503
229	149	501
230	150	500
231	150	499
232	151	497
233	151	496
234	152	495
235	152	494
236	153	492
237	153	491
238	154	490
239	154	489
240	154	487
241	155	486
242	155	485
243	156	483
244	156	482
245	157	481
246	157	480
247	157	479
248	158	477
249	158	476
250	159	475
251	159	473
252	159	472
253	160	471
254	160	469
255	161	468
256	161	467
257	161	465
258	162	464
259	162	463
260	163	462
261	163	461
262	164	459
263	164	458
264	164	457
265	165	456
266	165	455
267	166	454
268	166	453
269	167	451
270	167	451
271	168	449
272	168	448
273	168	447
274	169	446
275	169	445
276	170	444
